Player Name,Rounds,Fairway Percentage,Fairways Hit,Possible Fairways,Year
Henrik Stenson,60,75.19,591,786,2018
Ryan Armour,109,73.58,"1,103","1,499",2018
Chez Reavie,93,72.24,869,"1,203",2018
Ryan Moore,78,71.94,787,"1,094",2018
Brian Stuard,103,71.44,968,"1,355",2018
Brian Gay,103,71.37,"1,007","1,411",2018
Kyle Stanley,93,71.29,884,"1,240",2018
Emiliano Grillo,94,70.16,905,"1,290",2018
Russell Henley,77,70.03,729,"1,041",2018
Jim Furyk,50,69.91,467,668,2018
Steve Wheatcroft,60,69.79,566,811,2018
Kevin Streelman,94,69.11,888,"1,285",2018
C.T. Pan,104,68.98,945,"1,370",2018
David Lingmerth,82,68.93,750,"1,088",2018
Keegan Bradley,98,67.90,884,"1,302",2018
Rafa Cabrera Bello,75,67.85,667,983,2018
Billy Horschel,86,67.80,779,"1,149",2018
Russell Knox,94,67.70,851,"1,257",2018
Ben Crane,65,67.52,557,825,2018
Vaughn Taylor,83,67.51,746,"1,105",2018
Brian Harman,94,67.14,850,"1,266",2018
Sam Ryder,82,66.91,746,"1,115",2018
"Ted Potter, Jr.",87,66.83,812,"1,215",2018
Austin Cook,107,66.76,"1,002","1,501",2018
Tyler Duncan,97,66.74,867,"1,299",2018
David Hearn,66,66.63,559,839,2018
Alex Cejka,77,66.49,639,961,2018
Ian Poulter,73,66.41,595,896,2018
Joel Dahmen,93,66.36,789,"1,189",2018
Kevin Kisner,89,66.33,729,"1,099",2018
J.J. Henry,81,66.22,692,"1,045",2018
J.J. Spaun,85,66.18,732,"1,106",2018
Justin Rose,70,66.02,610,924,2018
Kelly Kraft,94,65.84,846,"1,285",2018
Conrad Shindler,60,65.77,515,783,2018
Scott Piercy,84,65.68,735,"1,119",2018
Adam Hadwin,92,65.60,820,"1,250",2018
Ben Silverman,90,65.56,769,"1,173",2018
Satoshi Kodaira,51,65.53,443,676,2018
Rickie Fowler,74,65.33,682,"1,044",2018
Xinjun Zhang,81,65.33,684,"1,047",2018
Kiradech Aphibarnrat,51,65.12,422,648,2018
Pat Perez,82,65.09,688,"1,057",2018
Lucas Glover,65,65.06,553,850,2018
Richy Werenski,98,65.06,836,"1,285",2018
Hunter Mahan,67,65.04,573,881,2018
Francesco Molinari,73,65.04,640,984,2018
Fabián Gómez,88,64.99,761,"1,171",2018
Tommy Fleetwood,73,64.98,603,928,2018
Graeme McDowell,67,64.92,533,821,2018
Louis Oosthuizen,62,64.81,490,756,2018
Chad Campbell,87,64.70,713,"1,102",2018
Blayne Barber,69,64.67,604,934,2018
Michael Thompson,62,64.66,525,812,2018
Chris Kirk,108,64.64,956,"1,479",2018
Daniel Berger,81,64.58,691,"1,070",2018
Hudson Swafford,73,64.57,607,940,2018
Bronson Burgoon,69,64.53,624,967,2018
Brice Garnett,99,64.45,854,"1,325",2018
Ryan Blaum,81,64.31,699,"1,087",2018
Johnson Wagner,75,64.25,620,965,2018
Kevin Na,91,64.13,774,"1,207",2018
Zach Johnson,94,63.88,778,"1,218",2018
John Huh,94,63.83,803,"1,258",2018
James Hahn,85,63.73,731,"1,147",2018
Rod Pampling,62,63.69,514,807,2018
Gary Woodland,96,63.69,812,"1,275",2018
Cameron Percy,56,63.66,445,699,2018
Abraham Ancer,98,63.64,854,"1,342",2018
Ben Martin,64,63.52,566,891,2018
Branden Grace,67,63.49,567,893,2018
Denny McCarthy,71,63.45,559,881,2018
Aaron Wise,90,63.33,777,"1,227",2018
Jason Dufner,71,63.30,571,902,2018
Matt Kuchar,88,63.27,708,"1,119",2018
Martin Laird,73,63.22,574,908,2018
Roberto Díaz,72,63.20,601,951,2018
Paul Casey,74,63.14,627,993,2018
