Player Name,Rounds,Green In Regulation Percentage,Greens Hit,Holes,Relative/Par,Year
Henrik Stenson,60,73.51,741,"1,008",-0.26,2018
Sam Ryder,82,72.08,"1,038","1,440",-0.26,2018
Billy Horschel,86,71.75,"1,059","1,476",-0.28,2018
Kevin Streelman,94,71.56,"1,185","1,656",-0.24,2018
C.T. Pan,104,71.20,"1,256","1,764",-0.26,2018
Kyle Stanley,93,71.09,"1,126","1,584",-0.26,2018
Patrick Cantlay,87,70.69,"1,018","1,440",-0.27,2018
Adam Scott,78,70.66,992,"1,404",-0.25,2018
Dustin Johnson,77,70.57,940,"1,332",-0.37,2018
J.J. Henry,81,70.52,952,"1,350",-0.21,2018
Gary Woodland,96,70.51,"1,155","1,638",-0.27,2018
Andrew Putnam,97,70.47,"1,129","1,602",-0.24,2018
Jordan Spieth,81,70.47,964,"1,368",-0.29,2018
Jason Kokrak,99,70.37,"1,254","1,782",-0.28,2018
Brett Stegmaier,67,70.31,772,"1,098",-0.26,2018
Francesco Molinari,73,70.24,885,"1,260",-0.26,2018
Corey Conners,97,70.19,"1,175","1,674",-0.24,2018
Tony Finau,105,70.18,"1,238","1,764",-0.32,2018
Rafa Cabrera Bello,75,70.16,884,"1,260",-0.27,2018
Jon Rahm,71,70.12,833,"1,188",-0.31,2018
Michael Thompson,62,70.11,732,"1,044",-0.26,2018
Blayne Barber,69,69.98,844,"1,206",-0.26,2018
Justin Rose,70,69.95,831,"1,188",-0.32,2018
Scott Piercy,84,69.72,"1,004","1,440",-0.24,2018
Bryson DeChambeau,93,69.65,"1,166","1,674",-0.30,2018
Tyler Duncan,97,69.65,"1,166","1,674",-0.24,2018
Russell Knox,94,69.57,"1,127","1,620",-0.24,2018
Cameron Percy,56,69.56,626,900,-0.29,2018
Rickie Fowler,74,69.52,926,"1,332",-0.30,2018
J.J. Spaun,85,69.48,988,"1,422",-0.28,2018
Keith Mitchell,99,69.42,"1,212","1,746",-0.28,2018
Tommy Fleetwood,73,69.36,824,"1,188",-0.32,2018
Charles Howell III,104,69.33,"1,248","1,800",-0.26,2018
Hideki Matsuyama,75,69.29,898,"1,296",-0.30,2018
Brendan Steele,74,69.24,835,"1,206",-0.24,2018
Keegan Bradley,98,69.18,"1,158","1,674",-0.27,2018
Patton Kizzire,92,69.04,"1,106","1,602",-0.27,2018
Hudson Swafford,73,68.99,832,"1,206",-0.25,2018
Hunter Mahan,67,68.96,782,"1,134",-0.28,2018
David Hearn,66,68.89,744,"1,080",-0.26,2018
Emiliano Grillo,94,68.84,"1,140","1,656",-0.28,2018
Joel Dahmen,93,68.82,"1,053","1,530",-0.26,2018
Aaron Wise,90,68.81,"1,090","1,584",-0.29,2018
Ryan Moore,78,68.80,966,"1,404",-0.26,2018
Russell Henley,77,68.77,916,"1,332",-0.26,2018
Justin Thomas,91,68.77,"1,015","1,476",-0.33,2018
Chez Reavie,93,68.67,"1,063","1,548",-0.27,2018
Shane Lowry,64,68.65,692,"1,008",-0.25,2018
Stewart Cink,87,68.58,"1,074","1,566",-0.27,2018
Bronson Burgoon,69,68.44,850,"1,242",-0.28,2018
Luke List,98,68.36,"1,169","1,710",-0.27,2018
J.T. Poston,73,68.31,873,"1,278",-0.28,2018
James Hahn,85,68.29,"1,008","1,476",-0.26,2018
Brooks Koepka,64,68.28,762,"1,116",-0.31,2018
Chris Kirk,108,68.24,"1,302","1,908",-0.27,2018
Ryan Armour,109,68.22,"1,314","1,926",-0.25,2018
Bubba Watson,90,68.21,970,"1,422",-0.28,2018
Nate Lashley,51,68.20,577,846,-0.24,2018
Jonathan Byrd,70,68.19,761,"1,116",-0.25,2018
Denny McCarthy,71,68.17,773,"1,134",-0.26,2018
Adam Hadwin,92,68.04,"1,090","1,602",-0.25,2018
Nicholas Lindheim,77,68.04,845,"1,242",-0.26,2018
Byeong Hun An,86,67.99,"1,028","1,512",-0.26,2018
Nick Watney,94,67.96,"1,101","1,620",-0.28,2018
Beau Hossler,104,67.95,"1,272","1,872",-0.29,2018
Webb Simpson,95,67.93,"1,125","1,656",-0.29,2018
Adam Schenk,86,67.92,978,"1,440",-0.24,2018
Peter Uihlein,83,67.88,953,"1,404",-0.27,2018
Johnson Wagner,75,67.87,843,"1,242",-0.28,2018
Fabián Gómez,88,67.86,"1,026","1,512",-0.25,2018
Rory Sabbatini,91,67.85,"1,087","1,602",-0.26,2018
Paul Casey,74,67.84,867,"1,278",-0.27,2018
Harold Varner III,91,67.79,"1,086","1,602",-0.25,2018
Pat Perez,82,67.78,915,"1,350",-0.27,2018
Chesson Hadley,103,67.68,"1,206","1,782",-0.30,2018
Nick Taylor,94,67.65,"1,096","1,620",-0.24,2018
Brian Harman,94,67.59,"1,095","1,620",-0.26,2018
William McGirt,84,67.59,949,"1,404",-0.24,2018
Shawn Stefani,76,67.49,899,"1,332",-0.27,2018
Zach Johnson,94,67.43,"1,056","1,566",-0.29,2018
Lanto Griffin,80,67.42,898,"1,332",-0.27,2018
Tiger Woods,68,67.40,825,"1,224",-0.30,2018
Lucas Glover,65,67.12,737,"1,098",-0.24,2018
Brian Stuard,103,67.12,"1,172","1,746",-0.25,2018
Stephan Jaeger,81,67.11,906,"1,350",-0.25,2018
Branden Grace,67,67.10,773,"1,152",-0.27,2018
Tom Lovelady,87,67.08,978,"1,458",-0.29,2018
Xinjun Zhang,81,67.04,905,"1,350",-0.24,2018
Vaughn Taylor,83,67.02,953,"1,422",-0.27,2018
Ian Poulter,73,67.01,772,"1,152",-0.26,2018
Richy Werenski,98,66.97,"1,109","1,656",-0.26,2018
Daniel Berger,81,66.89,915,"1,368",-0.26,2018
Kevin Tway,110,66.88,"1,252","1,872",-0.29,2018
Matt Kuchar,88,66.81,962,"1,440",-0.27,2018
Brice Garnett,99,66.78,"1,142","1,710",-0.26,2018
Marc Leishman,93,66.67,"1,080","1,620",-0.30,2018
Steve Wheatcroft,60,66.57,695,"1,044",-0.26,2018
Charley Hoffman,87,66.53,958,"1,440",-0.27,2018
Kevin Chappell,77,66.52,886,"1,332",-0.27,2018
Austin Cook,107,66.51,"1,281","1,926",-0.27,2018
Abraham Ancer,98,66.49,"1,149","1,728",-0.27,2018
Matt Jones,70,66.49,742,"1,116",-0.27,2018
Zac Blair,64,66.48,694,"1,044",-0.27,2018
Tyrrell Hatton,58,66.46,646,972,-0.24,2018
Martin Flores,92,66.34,"1,027","1,548",-0.26,2018
Rory McIlroy,64,66.30,728,"1,098",-0.31,2018
Conrad Shindler,60,66.27,668,"1,008",-0.26,2018
Ryan Blaum,81,66.10,928,"1,404",-0.27,2018
Mackenzie Hughes,80,66.01,903,"1,368",-0.27,2018
Martin Laird,73,65.90,771,"1,170",-0.29,2018
