Player Name,Events,Money,YTD Victories,Year
Justin Thomas,23,"$8,694,821",3,2018
Dustin Johnson,20,"$8,457,352",3,2018
Justin Rose,18,"$8,130,678",2,2018
Bryson DeChambeau,26,"$8,094,489",3,2018
Brooks Koepka,17,"$7,094,047",2,2018
Bubba Watson,24,"$5,793,748",3,2018
Tony Finau,28,"$5,620,138",,2018
Tiger Woods,18,"$5,443,841",1,2018
Webb Simpson,26,"$5,376,417",1,2018
Jason Day,20,"$5,087,461",2,2018
Francesco Molinari,20,"$5,065,842",2,2018
Patrick Reed,26,"$5,006,267",1,2018
Phil Mickelson,24,"$4,595,187",1,2018
Rory McIlroy,18,"$4,410,296",1,2018
Billy Horschel,27,"$4,315,200",1,2018
Rickie Fowler,20,"$4,235,237",,2018
Keegan Bradley,27,"$4,069,464",1,2018
Xander Schauffele,27,"$4,047,538",,2018
Jon Rahm,20,"$3,992,678",1,2018
Patrick Cantlay,23,"$3,963,962",1,2018
Tommy Fleetwood,19,"$3,935,147",,2018
Kyle Stanley,26,"$3,916,001",,2018
Marc Leishman,25,"$3,771,221",,2018
Paul Casey,20,"$3,641,771",1,2018
Cameron Smith,24,"$3,622,607",,2018
Kevin Na,26,"$3,578,316",1,2018
Patton Kizzire,29,"$3,541,151",2,2018
Aaron Wise,29,"$3,486,407",1,2018
Gary Woodland,27,"$3,108,907",1,2018
Kevin Kisner,25,"$2,972,285",,2018
Pat Perez,23,"$2,962,641",1,2018
Jordan Spieth,23,"$2,793,536",,2018
Chesson Hadley,30,"$2,768,863",,2018
Brian Harman,25,"$2,733,463",,2018
Ian Poulter,20,"$2,714,450",1,2018
Luke List,29,"$2,710,736",,2018
Chez Reavie,28,"$2,700,018",,2018
Alex Noren,18,"$2,699,150",,2018
Hideki Matsuyama,21,"$2,687,477",,2018
Henrik Stenson,16,"$2,680,487",,2018
Andrew Landry,27,"$2,642,179",1,2018
Byeong Hun An,24,"$2,599,264",,2018
Emiliano Grillo,25,"$2,493,163",,2018
Ryan Armour,32,"$2,485,203",1,2018
Rafa Cabrera Bello,20,"$2,449,869",,2018
Beau Hossler,28,"$2,449,707",,2018
Brandt Snedeker,25,"$2,448,970",1,2018
Austin Cook,29,"$2,448,920",1,2018
Andrew Putnam,28,"$2,387,382",1,2018
Brendan Steele,22,"$2,291,128",1,2018
Si Woo Kim,31,"$2,276,114",,2018
Adam Scott,21,"$2,237,641",,2018
Charles Howell III,28,"$2,179,725",,2018
Brian Gay,30,"$2,152,501",,2018
Jimmy Walker,23,"$2,027,312",,2018
Ryan Moore,22,"$1,986,608",,2018
J.J. Spaun,27,"$1,978,906",,2018
"Ted Potter, Jr.",28,"$1,976,198",1,2018
Zach Johnson,25,"$1,957,635",,2018
Tyrrell Hatton,16,"$1,943,360",,2018
Adam Hadwin,25,"$1,932,488",,2018
Whee Kim,30,"$1,920,340",,2018
Stewart Cink,25,"$1,887,208",,2018
Scott Piercy,26,"$1,882,337",1,2018
C.T. Pan,30,"$1,881,787",,2018
Chris Kirk,29,"$1,824,111",,2018
Peter Uihlein,26,"$1,797,715",,2018
Jason Kokrak,29,"$1,794,431",,2018
Louis Oosthuizen,17,"$1,731,493",,2018
Daniel Berger,23,"$1,721,763",,2018
Matt Kuchar,24,"$1,720,097",,2018
Charl Schwartzel,20,"$1,710,179",,2018
Abraham Ancer,30,"$1,676,695",,2018
Keith Mitchell,29,"$1,641,260",,2018
Kevin Chappell,23,"$1,608,338",,2018
J.B. Holmes,24,"$1,595,942",,2018
Branden Grace,18,"$1,529,289",,2018
Kevin Streelman,27,"$1,523,642",,2018
Russell Henley,23,"$1,516,438",,2018
Jason Dufner,22,"$1,497,655",,2018
Kelly Kraft,31,"$1,496,253",,2018
Ryan Palmer,22,"$1,484,445",,2018
Joel Dahmen,28,"$1,476,838",,2018
Satoshi Kodaira,18,"$1,471,462",1,2018
Brice Garnett,30,"$1,466,224",1,2018
Anirban Lahiri,24,"$1,441,205",,2018
Russell Knox,27,"$1,424,030",,2018
Nick Watney,26,"$1,402,833",,2018
Charley Hoffman,25,"$1,400,637",,2018
James Hahn,26,"$1,386,301",,2018
Michael Kim,27,"$1,379,736",1,2018
Kevin Tway,31,"$1,379,544",,2018
Jamie Lovemark,26,"$1,377,286",,2018
Tom Hoge,31,"$1,358,542",,2018
Troy Merritt,27,"$1,326,989",1,2018
Ollie Schniederjans,27,"$1,303,610",,2018
Patrick Rodgers,30,"$1,287,040",,2018
Danny Lee,30,"$1,269,386",,2018
Sung Kang,29,"$1,243,309",,2018
Harold Varner III,27,"$1,223,064",,2018
Alex Cejka,24,"$1,198,541",,2018
Trey Mullinax,24,"$1,184,245",,2018
Bronson Burgoon,24,"$1,179,616",,2018
Brandon Harkins,30,"$1,148,115",,2018
Scott Stallings,30,"$1,147,573",,2018
Jhonattan Vegas,27,"$1,137,444",,2018
Rory Sabbatini,27,"$1,126,057",,2018
Sean O'Hair,22,"$1,104,865",,2018
Brian Stuard,32,"$1,089,763",,2018
Richy Werenski,32,"$1,081,283",,2018
Scott Brown,32,"$1,076,678",,2018
Grayson Murray,22,"$1,056,628",,2018
Sam Ryder,26,"$1,046,166",,2018
Martin Laird,22,"$1,017,580",,2018
Sam Saunders,26,"$981,936",,2018
Ryan Blaum,28,"$980,877",,2018
John Huh,29,"$974,538",,2018
Vaughn Taylor,25,"$965,691",,2018
Tyler Duncan,31,"$944,021",,2018
J.T. Poston,22,"$940,661",,2018
William McGirt,26,"$933,327",,2018
Bud Cauley,17,"$900,591",,2018
Nick Taylor,30,"$899,373",,2018
Sergio Garcia,15,"$878,354",,2018
Martin Piller,28,"$847,304",,2018
Thomas Pieters,11,"$813,227",,2018
Chad Campbell,28,"$801,960",,2018
Harris English,31,"$799,450",,2018
Ben Silverman,28,"$793,140",,2018
Seamus Power,28,"$791,018",,2018
Lucas Glover,18,"$789,382",,2018
Tyrone Van Aswegen,31,"$763,584",,2018
Corey Conners,28,"$728,296",,2018
Aaron Baddeley,27,"$725,928",,2018
Derek Fathauer,28,"$708,712",,2018
Robert Garrigus,27,"$702,030",,2018
Tom Lovelady,28,"$700,783",,2018
Shane Lowry,19,"$696,897",,2018
Jim Furyk,15,"$660,010",,2018
Johnson Wagner,21,"$656,322",,2018
Talor Gooch,27,"$654,200",,2018
Bill Haas,25,"$638,414",,2018
David Hearn,21,"$622,383",,2018
Ben Crane,21,"$620,646",,2018
David Lingmerth,26,"$616,758",,2018
Nicholas Lindheim,26,"$593,842",,2018
Steve Stricker,12,"$582,566",,2018
Graeme McDowell,20,"$581,024",,2018
Hudson Swafford,22,"$569,391",,2018
Chris Stroud,27,"$565,466",,2018
Michael Thompson,19,"$563,972",,2018
Retief Goosen,20,"$545,364",,2018
Matt Jones,23,"$538,681",,2018
Ben Martin,20,"$532,936",,2018
Shawn Stefani,25,"$523,204",,2018
Mackenzie Hughes,28,"$518,476",,2018
Denny McCarthy,22,"$498,341",,2018
Wesley Bryan,23,"$498,166",,2018
J.J. Henry,28,"$482,052",,2018
Adam Schenk,28,"$474,923",,2018
Hunter Mahan,21,"$457,337",,2018
Jonathan Randolph,25,"$453,328",,2018
Martin Flores,29,"$449,266",,2018
Fabián Gómez,28,"$437,032",,2018
Stephan Jaeger,26,"$422,260",,2018
Xinjun Zhang,28,"$420,377",,2018
Peter Malnati,28,"$420,001",,2018
Ross Fisher,13,"$412,954",,2018
Robert Streb,29,"$411,606",,2018
Blayne Barber,22,"$398,137",,2018
Dominic Bozzelli,20,"$391,634",,2018
Cameron Percy,16,"$387,612",,2018
D.A. Points,25,"$377,265",,2018
Jonas Blixt,23,"$368,518",,2018
Ethan Tracy,23,"$364,493",,2018
Lanto Griffin,26,"$358,380",,2018
Ricky Barnes,22,"$340,591",,2018
Zac Blair,20,"$330,507",,2018
Steve Wheatcroft,20,"$309,656",,2018
Brett Stegmaier,21,"$305,607",,2018
Cody Gribble,25,"$302,593",,2018
Matt Every,30,"$299,162",,2018
Nate Lashley,17,"$296,650",,2018
Greg Chalmers,20,"$288,023",,2018
Rob Oppenheim,26,"$279,019",,2018
Jonathan Byrd,24,"$267,055",,2018
Graham DeLaet,3,"$251,630",,2018
Roberto Díaz,25,"$235,635",,2018
Daniel Summerhays,19,"$234,510",,2018
Camilo Villegas,14,"$229,439",,2018
K.J. Choi,14,"$219,405",,2018
Tim Herron,12,"$209,216",,2018
Andres Romero,6,"$206,764",,2018
Smylie Kaufman,22,"$201,136",,2018
Conrad Shindler,20,"$187,399",,2018
Sangmoon Bae,17,"$184,057",,2018
Rod Pampling,20,"$183,806",,2018
Cameron Tringale,26,"$179,459",,2018
Stuart Appleby,12,"$175,235",,2018
Parker McLachlin,11,"$174,039",,2018
Morgan Hoffmann,9,"$170,673",,2018
Billy Hurley III,27,"$145,725",,2018
Bernhard Langer,2,"$130,200",,2018
John Merrick,11,"$119,407",,2018
Martin Kaymer,11,"$115,379",,2018
Brendon de Jonge,14,"$110,276",,2018
Jerry Kelly,3,"$108,500",,2018
Ernie Els,15,"$102,868",,2018
Davis Love III,12,"$97,920",,2018
Vijay Singh,10,"$95,334",,2018
Geoff Ogilvy,18,"$93,947",,2018
Padraig Harrington,16,"$93,260",,2018
George McNeill,10,"$91,100",,2018
Zecheng Dou,23,"$90,993",,2018
