Player Name,Rounds,Average Putts,Total Putts,Total Rounds,Low Total Putts,Year
Daniel Summerhays,51,27.82,"1,252",45,22,2018
Peter Malnati,87,28.07,"2,330",83,22,2018
Kevin Na,91,28.07,"2,414",86,22,2018
Wesley Bryan,69,28.10,"1,883",67,23,2018
Phil Mickelson,90,28.11,"2,446",87,22,2018
Dominic Bozzelli,65,28.18,"1,832",65,23,2018
Jason Day,75,28.24,"1,920",68,22,2018
Ricky Barnes,65,28.25,"1,667",59,22,2018
Brian Gay,103,28.25,"2,853",101,23,2018
Greg Chalmers,56,28.31,"1,472",52,21,2018
Patrick Reed,94,28.33,"2,436",86,24,2018
Justin Thomas,91,28.33,"2,323",82,23,2018
Jimmy Walker,81,28.34,"2,182",77,23,2018
Cameron Smith,85,28.36,"2,212",78,22,2018
Ollie Schniederjans,91,28.44,"2,474",87,23,2018
Tom Hoge,101,28.45,"2,646",93,23,2018
"Ted Potter, Jr.",87,28.45,"2,475",87,23,2018
Derek Fathauer,84,28.46,"2,277",80,23,2018
Rory McIlroy,64,28.46,"1,736",61,23,2018
Dustin Johnson,77,28.47,"2,107",74,23,2018
Webb Simpson,95,28.47,"2,619",92,22,2018
Tiger Woods,68,28.49,"1,937",68,23,2018
David Lingmerth,82,28.50,"2,223",78,22,2018
Alex Cejka,77,28.52,"1,968",69,24,2018
Martin Piller,79,28.52,"2,196",77,22,2018
Michael Kim,74,28.54,"1,998",70,23,2018
Danny Lee,88,28.56,"2,456",86,24,2018
Bud Cauley,55,28.58,"1,515",53,22,2018
Ben Martin,64,28.58,"1,829",64,21,2018
Zach Johnson,94,28.62,"2,490",87,24,2018
Jonathan Randolph,71,28.63,"1,861",65,23,2018
Brandt Snedeker,84,28.63,"2,348",82,22,2018
Jamie Lovemark,92,28.64,"2,520",88,23,2018
Johnson Wagner,75,28.65,"1,977",69,20,2018
Justin Rose,70,28.67,"1,892",66,23,2018
Seamus Power,86,28.68,"2,237",78,23,2018
Ben Crane,65,28.69,"1,693",59,24,2018
Whee Kim,93,28.70,"2,554",89,23,2018
Austin Cook,107,28.72,"3,073",107,22,2018
Jim Furyk,50,28.73,"1,379",48,24,2018
Sam Saunders,80,28.73,"2,126",74,24,2018
Troy Merritt,89,28.74,"2,443",85,24,2018
Charl Schwartzel,65,28.74,"1,667",58,23,2018
Ben Silverman,90,28.74,"2,414",84,22,2018
Harris English,84,28.76,"2,243",78,22,2018
Brooks Koepka,64,28.76,"1,783",62,23,2018
Chris Stroud,81,28.78,"2,101",73,22,2018
