Player Name,Rounds,Average Score,Total Strokes,Total Adjustment,Total Rounds,Year
Dustin Johnson,77,68.698,"5,072",11.669,74,2018
Justin Rose,70,68.993,"4,556",- 2.468,66,2018
Justin Thomas,91,69.118,"5,663",4.652,82,2018
Webb Simpson,95,69.293,"6,371",3.938,92,2018
Rory McIlroy,64,69.303,"4,241",- 13.545,61,2018
Tommy Fleetwood,73,69.342,"4,588",- 11.452,66,2018
Tiger Woods,68,69.350,"4,730",- 14.227,68,2018
Rickie Fowler,74,69.435,"5,136",2.191,74,2018
Brooks Koepka,64,69.444,"4,302",3.519,62,2018
Tony Finau,105,69.520,"6,814",- 1.079,98,2018
Jason Day,75,69.603,"4,739",- 5.991,68,2018
Henrik Stenson,60,69.617,"3,901",- 2.449,56,2018
Bryson DeChambeau,93,69.646,"6,473",4.095,93,2018
Francesco Molinari,73,69.797,"4,894",- 8.241,70,2018
Paul Casey,74,69.850,"4,973",- 13.671,71,2018
Rafa Cabrera Bello,75,69.887,"4,898",- 5.891,70,2018
Patrick Cantlay,87,69.899,"5,594",- 2.071,80,2018
Jordan Spieth,81,69.904,"5,284",28.677,76,2018
Zach Johnson,94,69.911,"6,063",19.256,87,2018
Jon Rahm,71,69.958,"4,597",20.204,66,2018
Alex Noren,67,69.973,"4,222",- 23.647,60,2018
Ryan Moore,78,70.015,"5,457",4.196,78,2018
Hideki Matsuyama,75,70.022,"5,027",14.609,72,2018
Tyrrell Hatton,58,70.091,"3,802",- 17.110,54,2018
Phil Mickelson,90,70.098,"6,095",3.491,87,2018
Patrick Reed,94,70.106,"6,038",- 8.920,86,2018
Emiliano Grillo,94,70.152,"6,438",15.974,92,2018
Billy Horschel,86,70.154,"5,720",32.650,82,2018
Louis Oosthuizen,62,70.157,"3,806",- 17.525,54,2018
Gary Woodland,96,70.161,"6,389",- 4.341,91,2018
Byeong Hun An,86,70.190,"5,902",- 6.019,84,2018
Charles Howell III,104,70.219,"7,011",10.875,100,2018
Luke List,98,70.229,"6,679",- 7.229,95,2018
Aaron Wise,90,70.247,"6,165",16.744,88,2018
Marc Leishman,93,70.260,"6,312",11.401,90,2018
Brian Gay,103,70.280,"7,062",36.311,101,2018
Kevin Na,91,70.288,"6,011",33.755,86,2018
Keegan Bradley,98,70.303,"6,525",13.174,93,2018
Chesson Hadley,103,70.311,"6,941",19.784,99,2018
Daniel Berger,81,70.320,"5,353",- 8.669,76,2018
Jim Furyk,50,70.342,"3,388",- 11.594,48,2018
Brandt Snedeker,84,70.379,"5,753",18.061,82,2018
Bubba Watson,90,70.384,"5,536",24.311,79,2018
Kyle Stanley,93,70.404,"6,183",12.547,88,2018
Chris Kirk,108,70.411,"7,411",52.535,106,2018
Branden Grace,67,70.412,"4,515",- 8.632,64,2018
Adam Scott,78,70.420,"5,504",- 11.240,78,2018
Chez Reavie,93,70.432,"6,036",21.164,86,2018
Kevin Streelman,94,70.436,"6,449",31.091,92,2018
Stewart Cink,87,70.440,"6,113",15.276,87,2018
Jason Kokrak,99,70.444,"6,927",46.955,99,2018
C.T. Pan,104,70.457,"6,866",38.777,98,2018
Matt Kuchar,88,70.461,"5,626",10.903,80,2018
Austin Cook,107,70.469,"7,503",37.137,107,2018
Xander Schauffele,96,70.486,"6,549",6.172,93,2018
Russell Henley,77,70.489,"5,224",- 7.800,74,2018
Cameron Smith,85,70.517,"5,493",7.351,78,2018
Charley Hoffman,87,70.521,"5,651",- 9.353,80,2018
J.J. Spaun,85,70.525,"5,537",34.488,79,2018
Brian Harman,94,70.536,"6,341",7.258,90,2018
Russell Knox,94,70.568,"6,338",13.097,90,2018
Beau Hossler,104,70.574,"7,302",37.683,104,2018
Joel Dahmen,93,70.578,"5,953",46.108,85,2018
Peter Uihlein,83,70.578,"5,495",10.113,78,2018
Andrew Putnam,97,70.579,"6,239",42.501,89,2018
Ian Poulter,73,70.593,"4,519",- 1.050,64,2018
Pat Perez,82,70.594,"5,295",- .465,75,2018
Kiradech Aphibarnrat,51,70.629,"3,277",- 28.069,46,2018
Ollie Schniederjans,91,70.641,"6,143",2.736,87,2018
Abraham Ancer,98,70.659,"6,745",38.301,96,2018
Anirban Lahiri,82,70.660,"5,794",.125,82,2018
Alex Cejka,77,70.675,"4,852",24.586,69,2018
Vaughn Taylor,83,70.692,"5,554",30.631,79,2018
Rory Sabbatini,91,70.693,"6,250",41.673,89,2018
Bronson Burgoon,69,70.701,"4,845",33.336,69,2018
John Huh,94,70.718,"6,329",35.607,90,2018
Scott Stallings,96,70.719,"6,348",16.749,90,2018
Brandon Harkins,101,70.721,"6,688",30.493,95,2018
Kevin Kisner,89,70.729,"5,491",25.890,78,2018
Patrick Rodgers,97,70.731,"6,572",5.976,93,2018
Jamie Lovemark,92,70.734,"6,201",23.597,88,2018
Scott Piercy,84,70.736,"5,634",24.879,80,2018
Corey Conners,97,70.743,"6,543",36.067,93,2018
Adam Hadwin,92,70.750,"6,280",16.754,89,2018
Shane Lowry,64,70.754,"3,973",- 10.782,56,2018
Ryan Armour,109,70.758,"7,515",56.143,107,2018
Johnson Wagner,75,70.758,"4,826",56.333,69,2018
Jimmy Walker,81,70.786,"5,456",- 5.503,77,2018
J.B. Holmes,77,70.789,"5,306",3.206,75,2018
William McGirt,84,70.791,"5,494",27.689,78,2018
Sam Saunders,80,70.794,"5,208",30.754,74,2018
Kevin Tway,110,70.800,"7,323",40.238,104,2018
Trey Mullinax,75,70.815,"4,872",14.211,69,2018
Blayne Barber,69,70.835,"4,699",46.914,67,2018
Kevin Chappell,77,70.839,"5,243",- .914,74,2018
Martin Laird,73,70.839,"4,576",28.535,65,2018
Patton Kizzire,92,70.841,"6,263",41.848,89,2018
Peter Malnati,87,70.841,"5,848",31.766,83,2018
Aaron Baddeley,84,70.850,"5,518",8.336,78,2018
Denny McCarthy,71,70.861,"4,432",32.262,63,2018
Nick Watney,94,70.862,"6,346",31.574,90,2018
Seamus Power,86,70.869,"5,490",37.782,78,2018
Troy Merritt,89,70.888,"5,993",32.512,85,2018
James Hahn,85,70.896,"5,779",34.491,82,2018
Cameron Percy,56,70.909,"3,503",42.468,50,2018
Sam Ryder,82,70.914,"5,612",61.082,80,2018
J.T. Poston,73,70.915,"4,999",35.990,71,2018
Keith Mitchell,99,70.920,"6,819",60.269,97,2018
Michael Thompson,62,70.924,"4,085",28.611,58,2018
Tom Hoge,101,70.945,"6,568",29.869,93,2018
Harold Varner III,91,70.971,"6,303",13.422,89,2018
Ben Martin,64,70.974,"4,533",9.367,64,2018
Ryan Blaum,81,70.993,"5,502",35.485,78,2018
Nate Lashley,51,70.999,"3,318",18.976,47,2018
Graeme McDowell,67,71.001,"4,196",- 6.967,59,2018
Brice Garnett,99,71.018,"6,716",30.748,95,2018
Fabián Gómez,88,71.020,"5,929",36.713,84,2018
Brendan Steele,74,71.021,"4,754",4.383,67,2018
"Ted Potter, Jr.",87,71.024,"6,171",8.084,87,2018
Bill Haas,76,71.028,"5,244",12.044,74,2018
Ryan Palmer,69,71.031,"4,444",30.976,63,2018
Brian Stuard,103,71.038,"6,855",35.723,97,2018
Tyler Duncan,97,71.040,"6,582",24.711,93,2018
David Lingmerth,82,71.043,"5,511",30.321,78,2018
Andrew Landry,82,71.059,"5,657",27.705,80,2018
Lucas Glover,65,71.066,"4,345",- 9.950,61,2018
Ben Crane,65,71.097,"4,164",30.701,59,2018
Matt Jones,70,71.112,"4,381",27.928,62,2018
Hunter Mahan,67,71.135,"4,439",42.517,63,2018
Lanto Griffin,80,71.145,"5,228",36.754,74,2018
Talor Gooch,78,71.149,"5,112",10.704,72,2018
Harris English,84,71.162,"5,522",28.660,78,2018
Dominic Bozzelli,65,71.179,"4,603",23.641,65,2018
Richy Werenski,98,71.185,"6,512",37.051,92,2018
Brett Stegmaier,67,71.191,"4,301",41.639,61,2018
Shawn Stefani,76,71.192,"5,229",39.207,74,2018
Danny Lee,88,71.196,"6,077",45.891,86,2018
Zac Blair,64,71.215,"4,089",41.454,58,2018
Tyrone Van Aswegen,101,71.243,"6,595",30.593,93,2018
Tom Lovelady,87,71.252,"5,739",32.448,81,2018
Nick Taylor,94,71.269,"6,373",41.219,90,2018
Jhonattan Vegas,92,71.275,"6,339",4.444,89,2018
Ben Silverman,90,71.281,"5,956",31.616,84,2018
Mackenzie Hughes,80,71.282,"5,387",30.431,76,2018
Jason Dufner,71,71.323,"4,564",.668,64,2018
David Hearn,66,71.325,"4,238",41.495,60,2018
Scott Brown,102,71.329,"6,954",36.272,98,2018
Kelly Kraft,94,71.333,"6,547",15.595,92,2018
Nicholas Lindheim,77,71.344,"4,876",46.770,69,2018
Charl Schwartzel,65,71.349,"4,160",- 21.741,58,2018
Bud Cauley,55,71.356,"3,775",6.864,53,2018
Stephan Jaeger,81,71.356,"5,316",35.665,75,2018
Si Woo Kim,108,71.367,"7,394",28.185,104,2018
Adam Schenk,86,71.370,"5,683",26.596,80,2018
J.J. Henry,81,71.372,"5,321",31.897,75,2018
Jonathan Byrd,70,71.398,"4,382",44.656,62,2018
Retief Goosen,60,71.409,"3,721",- 7.724,52,2018
Robert Garrigus,80,71.457,"5,391",39.695,76,2018
Martin Flores,92,71.458,"6,112",33.354,86,2018
Conrad Shindler,60,71.465,"3,952",50.046,56,2018
Whee Kim,93,71.477,"6,318",43.497,89,2018
Sean O'Hair,67,71.479,"4,490",13.153,63,2018
Xinjun Zhang,81,71.486,"5,330",31.417,75,2018
Rob Oppenheim,74,71.532,"4,830",34.144,68,2018
Wesley Bryan,69,71.552,"4,770",23.961,67,2018
Hudson Swafford,73,71.619,"4,760",38.504,67,2018
Chris Stroud,81,71.628,"5,195",33.841,73,2018
Steve Wheatcroft,60,71.631,"4,111",43.622,58,2018
Michael Kim,74,71.662,"5,005",11.309,70,2018
Ricky Barnes,65,71.663,"4,179",49.109,59,2018
Chad Campbell,87,71.683,"5,632",30.969,79,2018
Billy Hurley III,70,71.715,"4,565",24.746,64,2018
Roberto Díaz,72,71.731,"4,847",30.729,68,2018
Derek Fathauer,84,71.827,"5,722",24.143,80,2018
