Player Name,Rounds,Average Scrambling,Par or Better,Missed GIR,Year
Webb Simpson,95,66.10,351,531,2018
Johnson Wagner,75,65.41,261,399,2018
Louis Oosthuizen,62,64.26,214,333,2018
Ryan Moore,78,64.16,281,438,2018
Tiger Woods,68,64.16,256,399,2018
Alex Cejka,77,64.00,288,450,2018
Seamus Power,86,63.80,312,489,2018
Kevin Na,91,63.62,348,547,2018
Matt Kuchar,88,63.60,304,478,2018
Chris Kirk,108,63.53,385,606,2018
Joel Dahmen,93,63.31,302,477,2018
Brooks Koepka,64,63.28,224,354,2018
Brian Gay,103,63.26,408,645,2018
Rickie Fowler,74,63.05,256,406,2018
Justin Rose,70,63.03,225,357,2018
Ben Crane,65,63.00,235,373,2018
Rory McIlroy,64,62.97,233,370,2018
Patrick Reed,94,62.94,355,564,2018
William McGirt,84,62.86,286,455,2018
Abraham Ancer,98,62.69,363,579,2018
Jim Furyk,50,62.58,199,318,2018
Tyrrell Hatton,58,62.58,204,326,2018
Dustin Johnson,77,62.50,245,392,2018
Justin Thomas,91,62.47,288,461,2018
Jason Day,75,62.35,265,425,2018
Zach Johnson,94,62.35,318,510,2018
Chez Reavie,93,62.27,302,485,2018
Austin Cook,107,62.02,400,645,2018
Nick Taylor,94,61.83,324,524,2018
Alex Noren,67,61.74,234,379,2018
Jordan Spieth,81,61.63,249,404,2018
Andrew Putnam,97,61.52,291,473,2018
Zac Blair,64,61.43,215,350,2018
Tom Hoge,101,61.41,374,609,2018
Rory Sabbatini,91,61.36,316,515,2018
Peter Malnati,87,61.30,339,553,2018
Byeong Hun An,86,61.16,296,484,2018
Cameron Smith,85,61.12,316,517,2018
Aaron Baddeley,84,61.09,314,514,2018
Jamie Lovemark,92,61.07,342,560,2018
Emiliano Grillo,94,61.05,315,516,2018
Steve Wheatcroft,60,61.03,213,349,2018
Kevin Streelman,94,60.93,287,471,2018
Charles Howell III,104,60.87,336,552,2018
Scott Stallings,96,60.86,339,557,2018
Danny Lee,88,60.81,329,541,2018
Hideki Matsuyama,75,60.80,242,398,2018
Henrik Stenson,60,60.67,162,267,2018
Nate Lashley,51,60.59,163,269,2018
Paul Casey,74,60.58,249,411,2018
Bill Haas,76,60.34,283,469,2018
Kevin Kisner,89,60.29,293,486,2018
Wesley Bryan,69,60.17,281,467,2018
Matt Jones,70,60.16,225,374,2018
Ryan Armour,109,60.13,368,612,2018
Bud Cauley,55,60.12,205,341,2018
Brandt Snedeker,84,60.08,310,516,2018
Beau Hossler,104,60.00,360,600,2018
Conrad Shindler,60,60.00,204,340,2018
Chris Stroud,81,59.96,292,487,2018
Graeme McDowell,67,59.95,226,377,2018
Vaughn Taylor,83,59.91,281,469,2018
Bryson DeChambeau,93,59.84,304,508,2018
Lucas Glover,65,59.83,216,361,2018
Denny McCarthy,71,59.83,216,361,2018
Jonathan Randolph,71,59.83,277,463,2018
James Hahn,85,59.62,279,468,2018
Rob Oppenheim,74,59.55,262,440,2018
Talor Gooch,78,59.53,281,472,2018
Russell Knox,94,59.43,293,493,2018
Chad Campbell,87,59.39,291,490,2018
Brian Stuard,103,59.23,340,574,2018
Martin Laird,73,59.15,236,399,2018
Jimmy Walker,81,59.09,312,528,2018
Marc Leishman,93,59.07,319,540,2018
Daniel Berger,81,58.94,267,453,2018
Kelly Kraft,94,58.93,353,599,2018
Dominic Bozzelli,65,58.86,269,457,2018
Fabián Gómez,88,58.85,286,486,2018
Hunter Mahan,67,58.81,207,352,2018
Ben Martin,64,58.80,244,415,2018
Francesco Molinari,73,58.67,220,375,2018
Brice Garnett,99,58.63,333,568,2018
Jhonattan Vegas,92,58.60,327,558,2018
Adam Hadwin,92,58.59,300,512,2018
David Lingmerth,82,58.57,304,519,2018
Roberto Díaz,72,58.56,260,444,2018
Whee Kim,93,58.56,342,584,2018
Shawn Stefani,76,58.43,253,433,2018
Luke List,98,58.41,316,541,2018
Phil Mickelson,90,58.36,321,550,2018
Anirban Lahiri,82,58.35,304,521,2018
Jonathan Byrd,70,58.31,207,355,2018
Jason Dufner,71,58.25,240,412,2018
Xinjun Zhang,81,58.20,259,445,2018
Harold Varner III,91,58.14,300,516,2018
Tyrone Van Aswegen,101,58.08,338,582,2018
Billy Horschel,86,58.03,242,417,2018
Rafa Cabrera Bello,75,57.98,218,376,2018
John Huh,94,57.94,321,554,2018
Charl Schwartzel,65,57.88,235,406,2018
Peter Uihlein,83,57.87,261,451,2018
Harris English,84,57.86,298,515,2018
Xander Schauffele,96,57.81,333,576,2018
Branden Grace,67,57.78,219,379,2018
Martin Piller,79,57.74,317,549,2018
Matt Atkins,56,57.60,197,342,2018
Troy Merritt,89,57.60,307,533,2018
Patrick Cantlay,87,57.58,243,422,2018
Sean O'Hair,67,57.56,236,410,2018
J.T. Poston,73,57.53,233,405,2018
Corey Conners,97,57.52,287,499,2018
"Ted Potter, Jr.",87,57.51,333,579,2018
Blayne Barber,69,57.46,208,362,2018
Ricky Barnes,65,57.40,221,385,2018
Ben Silverman,90,57.36,304,530,2018
Cameron Percy,56,57.30,157,274,2018
Si Woo Kim,108,57.23,388,678,2018
Tony Finau,105,57.22,301,526,2018
Patrick Rodgers,97,57.22,329,575,2018
Jon Rahm,71,57.18,203,355,2018
J.B. Holmes,77,57.14,268,469,2018
Ian Poulter,73,57.11,217,380,2018
Retief Goosen,60,56.98,204,358,2018
Andrew Landry,82,56.97,282,495,2018
Brian Harman,94,56.95,299,525,2018
Ollie Schniederjans,91,56.95,332,583,2018
C.T. Pan,104,56.89,289,508,2018
Robert Garrigus,80,56.84,270,475,2018
Jonas Blixt,67,56.83,237,417,2018
Keegan Bradley,98,56.78,293,516,2018
Kevin Tway,110,56.77,352,620,2018
Stephan Jaeger,81,56.76,252,444,2018
Rod Pampling,62,56.67,221,390,2018
Bubba Watson,90,56.64,256,452,2018
Chesson Hadley,103,56.60,326,576,2018
Keith Mitchell,99,56.55,302,534,2018
Richy Werenski,98,56.49,309,547,2018
Sam Ryder,82,56.47,227,402,2018
Brett Stegmaier,67,56.44,184,326,2018
Kevin Chappell,77,56.28,251,446,2018
Aaron Wise,90,56.28,278,494,2018
Charley Hoffman,87,56.22,271,482,2018
Michael Kim,74,56.05,278,496,2018
Scott Piercy,84,55.96,244,436,2018
Brandon Harkins,101,55.88,328,587,2018
Sam Saunders,80,55.79,260,466,2018
Tommy Fleetwood,73,55.77,203,364,2018
Michael Thompson,62,55.77,174,312,2018
Lanto Griffin,80,55.76,242,434,2018
J.J. Spaun,85,55.76,242,434,2018
Stewart Cink,87,55.69,274,492,2018
Nick Watney,94,55.68,289,519,2018
David Hearn,66,55.65,187,336,2018
Pat Perez,82,55.63,242,435,2018
Bronson Burgoon,69,55.61,218,392,2018
Kiradech Aphibarnrat,51,55.59,174,313,2018
Ryan Blaum,81,55.46,264,476,2018
Ryan Palmer,69,55.38,216,390,2018
Patton Kizzire,92,55.24,274,496,2018
Cameron Tringale,67,55.24,216,391,2018
Jason Kokrak,99,55.11,291,528,2018
Derek Fathauer,84,54.99,314,571,2018
Billy Hurley III,70,54.93,234,426,2018
Martin Flores,92,54.89,286,521,2018
Ethan Tracy,72,54.88,236,430,2018
Daniel Summerhays,51,54.86,192,350,2018
Adam Scott,78,54.85,226,412,2018
Kyle Stanley,93,54.80,251,458,2018
Scott Brown,102,54.79,332,606,2018
J.J. Henry,81,54.77,218,398,2018
Adam Schenk,86,54.55,252,462,2018
Gary Woodland,96,54.45,263,483,2018
Trey Mullinax,75,54.42,234,430,2018
Russell Henley,77,54.33,226,416,2018
Grayson Murray,72,54.32,264,486,2018
Mackenzie Hughes,80,54.19,252,465,2018
Kyle Thompson,50,54.02,168,311,2018
Hudson Swafford,73,54.01,202,374,2018
Nicholas Lindheim,77,53.90,214,397,2018
Shane Lowry,64,53.48,169,316,2018
D.A. Points,63,53.32,233,437,2018
Cody Gribble,71,53.30,234,439,2018
Robert Streb,78,52.89,247,467,2018
Greg Chalmers,56,52.85,213,403,2018
Tyler Duncan,97,52.76,268,508,2018
Brendan Steele,74,52.56,195,371,2018
Matt Every,79,52.51,251,478,2018
Sung Kang,89,52.40,295,563,2018
Tom Lovelady,87,52.08,250,480,2018
Zecheng Dou,53,51.56,165,320,2018
Satoshi Kodaira,51,51.02,175,343,2018
Andrew Yun,51,44.01,136,309,2018
Ian Poulter,72,67.36,293,435,2017
Matt Kuchar,95,65.78,348,529,2017
Zac Blair,105,65.50,412,629,2017
Webb Simpson,102,65.15,387,594,2017
Chad Campbell,97,64.63,349,540,2017
Paul Casey,94,64.52,300,465,2017
Gonzalo Fernandez-Castaño,63,64.30,245,381,2017
Brandt Snedeker,53,64.06,180,281,2017
Jon Rahm,90,63.74,290,455,2017
John Huh,92,63.65,345,542,2017
Steve Wheatcroft,51,63.64,210,330,2017
Adam Hadwin,98,63.47,377,594,2017
Seamus Power,86,63.43,314,495,2017
Pat Perez,93,63.38,341,538,2017
Chez Reavie,98,63.28,343,542,2017
Matt Jones,64,63.17,235,372,2017
Rory McIlroy,51,63.12,178,282,2017
Bill Haas,92,63.10,301,477,2017
Chad Collins,66,63.07,275,436,2017
Francesco Molinari,75,62.95,260,413,2017
Louis Oosthuizen,69,62.91,229,364,2017
Rickie Fowler,78,62.85,269,428,2017
Daniel Berger,91,62.80,314,500,2017
Tim Wilkinson,64,62.77,236,376,2017
Brian Harman,104,62.74,399,636,2017
