Player Name,Rounds,Average SG Putts,Total SG:Putts,Measured Rounds,Year
Greg Chalmers,56,.790,32.387,41,2018
Jason Day,75,.770,37.720,49,2018
Alex Noren,67,.758,37.154,49,2018
Daniel Summerhays,51,.736,27.965,38,2018
Webb Simpson,95,.692,56.017,81,2018
Beau Hossler,104,.685,61.617,90,2018
Johnson Wagner,75,.623,34.291,55,2018
Peter Malnati,87,.619,46.409,75,2018
Patrick Rodgers,97,.561,40.931,73,2018
Emiliano Grillo,94,.546,39.840,73,2018
Kevin Na,91,.533,37.303,70,2018
Kevin Kisner,89,.513,33.364,65,2018
Phil Mickelson,90,.510,35.710,70,2018
Seamus Power,86,.498,32.851,66,2018
Michael Thompson,62,.498,27.889,56,2018
Graeme McDowell,67,.478,21.967,46,2018
Brandt Snedeker,84,.478,35.378,74,2018
Denny McCarthy,71,.449,22.017,49,2018
Brian Gay,103,.442,40.668,92,2018
Whee Kim,93,.427,31.181,73,2018
Justin Rose,70,.424,22.479,53,2018
Brett Stegmaier,67,.401,18.835,47,2018
Billy Horschel,86,.392,30.164,77,2018
Jim Furyk,50,.389,17.903,46,2018
Dustin Johnson,77,.385,23.861,62,2018
Bud Cauley,55,.367,15.055,41,2018
Derek Fathauer,84,.363,24.669,68,2018
Wesley Bryan,69,.360,18.354,51,2018
Nicholas Lindheim,77,.355,20.929,59,2018
Branden Grace,67,.350,15.389,44,2018
Matt Kuchar,88,.348,22.592,65,2018
Bryson DeChambeau,93,.346,26.982,78,2018
Hunter Mahan,67,.346,17.640,51,2018
Ricky Barnes,65,.338,15.200,45,2018
Tyrrell Hatton,58,.335,14.077,42,2018
Ben Crane,65,.332,15.285,46,2018
Ollie Schniederjans,91,.325,25.042,77,2018
Tommy Fleetwood,73,.324,17.509,54,2018
Jimmy Walker,81,.324,21.369,66,2018
Daniel Berger,81,.319,19.780,62,2018
Austin Cook,107,.315,28.962,92,2018
Dominic Bozzelli,65,.308,18.799,61,2018
Rickie Fowler,74,.296,18.028,61,2018
Martin Laird,73,.282,17.178,61,2018
Rafa Cabrera Bello,75,.273,13.101,48,2018
Brian Harman,94,.273,19.683,72,2018
Justin Thomas,91,.272,18.528,68,2018
Tiger Woods,68,.266,15.703,59,2018
Michael Kim,74,.259,14.004,54,2018
Jonas Blixt,67,.244,11.722,48,2018
Ben Silverman,90,.238,18.084,76,2018
Aaron Wise,90,.238,19.071,80,2018
Tony Finau,105,.232,18.774,81,2018
David Lingmerth,82,.229,15.774,69,2018
Brandon Harkins,101,.225,19.146,85,2018
Ian Poulter,73,.223,11.143,50,2018
Harris English,84,.222,15.063,68,2018
Charles Howell III,104,.219,17.091,78,2018
Chesson Hadley,103,.208,18.554,89,2018
Zach Johnson,94,.206,14.835,72,2018
Zac Blair,64,.203,9.346,46,2018
Cody Gribble,71,.201,10.838,54,2018
William McGirt,84,.200,14.969,75,2018
Nick Watney,94,.200,15.999,80,2018
Anirban Lahiri,82,.199,13.321,67,2018
Xander Schauffele,96,.196,14.078,72,2018
Chez Reavie,93,.192,11.495,60,2018
Roberto Díaz,72,.168,9.410,56,2018
Brooks Koepka,64,.168,9.057,54,2018
Russell Henley,77,.167,9.703,58,2018
John Huh,94,.167,13.730,82,2018
Patrick Reed,94,.164,10.316,63,2018
Brian Stuard,103,.164,14.398,88,2018
Danny Lee,88,.156,10.927,70,2018
Kiradech Aphibarnrat,51,.138,4.699,34,2018
J.T. Poston,73,.135,7.711,57,2018
Paul Casey,74,.133,6.537,49,2018
Hideki Matsuyama,75,.132,7.507,57,2018
Adam Schenk,86,.130,8.564,66,2018
Marc Leishman,93,.126,9.234,73,2018
Martin Piller,79,.119,7.942,67,2018
Ben Martin,64,.118,6.721,57,2018
Pat Perez,82,.115,5.873,51,2018
Jonathan Randolph,71,.115,6.912,60,2018
Cameron Smith,85,.115,6.990,61,2018
D.A. Points,63,.110,5.274,48,2018
Bronson Burgoon,69,.107,6.123,57,2018
Adam Hadwin,92,.106,7.013,66,2018
Sam Saunders,80,.094,6.304,67,2018
Nate Lashley,51,.082,2.853,35,2018
Charl Schwartzel,65,.081,3.381,42,2018
Troy Merritt,89,.077,5.594,73,2018
Kelly Kraft,94,.075,5.534,74,2018
"Ted Potter, Jr.",87,.074,5.735,77,2018
Chris Kirk,108,.073,6.996,96,2018
Trey Mullinax,75,.072,4.242,59,2018
Rory McIlroy,64,.060,3.073,51,2018
Rory Sabbatini,91,.059,4.449,75,2018
Chris Stroud,81,.053,3.098,58,2018
Andrew Putnam,97,.052,4.008,77,2018
Kevin Tway,110,.052,4.721,90,2018
Scott Brown,102,.049,3.967,81,2018
Rob Oppenheim,74,.045,2.413,54,2018
Kyle Stanley,93,.037,2.504,67,2018
Talor Gooch,78,.031,1.902,62,2018
Patton Kizzire,92,.030,2.321,78,2018
Charley Hoffman,87,.026,1.788,68,2018
Ryan Blaum,81,.025,1.790,72,2018
Billy Hurley III,70,.025,1.419,57,2018
Jason Kokrak,99,.022,1.930,88,2018
Peter Uihlein,83,.021,1.352,65,2018
Jamie Lovemark,92,.010,.810,78,2018
Alex Cejka,77,.009,.556,60,2018
Gary Woodland,96,.007,.482,70,2018
Fabián Gómez,88,.001,.061,71,2018
Bubba Watson,90,.001,.062,68,2018
Andrew Landry,82,-.010,-.751,73,2018
Tyrone Van Aswegen,101,-.010,-.821,83,2018
Blayne Barber,69,-.022,-1.323,60,2018
Harold Varner III,91,-.024,-1.769,74,2018
Louis Oosthuizen,62,-.026,-1.213,46,2018
Ethan Tracy,72,-.026,-1.402,54,2018
Matt Jones,70,-.034,-1.615,47,2018
Jordan Spieth,81,-.034,-2.224,66,2018
Shawn Stefani,76,-.034,-2.045,60,2018
Tom Lovelady,87,-.049,-3.410,69,2018
Abraham Ancer,98,-.056,-4.648,83,2018
Aaron Baddeley,84,-.057,-3.973,70,2018
Ryan Armour,109,-.058,-5.545,96,2018
Jason Dufner,71,-.058,-3.002,52,2018
Bill Haas,76,-.059,-3.922,66,2018
Jhonattan Vegas,92,-.059,-3.778,64,2018
C.T. Pan,104,-.067,-5.470,82,2018
Scott Stallings,96,-.070,-5.617,80,2018
Brice Garnett,99,-.076,-6.169,81,2018
Vaughn Taylor,83,-.080,-5.579,70,2018
Robert Streb,78,-.081,-4.830,60,2018
Russell Knox,94,-.088,-6.538,74,2018
Lanto Griffin,80,-.096,-5.733,60,2018
Cameron Tringale,67,-.104,-5.286,51,2018
Jonathan Byrd,70,-.106,-5.087,48,2018
Richy Werenski,98,-.109,-8.086,74,2018
David Hearn,66,-.127,-6.328,50,2018
Steve Wheatcroft,60,-.128,-5.886,46,2018
Stephan Jaeger,81,-.144,-9.089,63,2018
J.J. Spaun,85,-.149,-10.580,71,2018
Jon Rahm,71,-.151,-7.685,51,2018
James Hahn,85,-.152,-10.517,69,2018
Tom Hoge,101,-.162,-13.429,83,2018
Conrad Shindler,60,-.166,-7.324,44,2018
Si Woo Kim,108,-.168,-13.138,78,2018
Mackenzie Hughes,80,-.177,-12.010,68,2018
Patrick Cantlay,87,-.182,-12.177,67,2018
Lucas Glover,65,-.186,-8.573,46,2018
Matt Atkins,56,-.198,-7.906,40,2018
Cameron Percy,56,-.205,-8.386,41,2018
J.B. Holmes,77,-.207,-14.109,68,2018
Sean O'Hair,67,-.207,-11.801,57,2018
Henrik Stenson,60,-.207,-9.091,44,2018
Sung Kang,89,-.235,-15.725,67,2018
Kevin Streelman,94,-.250,-20.472,82,2018
Hudson Swafford,73,-.260,-13.534,52,2018
Ryan Moore,78,-.271,-17.863,66,2018
Joel Dahmen,93,-.277,-19.670,71,2018
Byeong Hun An,86,-.285,-20.820,73,2018
Adam Scott,78,-.285,-17.091,60,2018
Shane Lowry,64,-.286,-14.581,51,2018
Martin Flores,92,-.289,-20.821,72,2018
Nick Taylor,94,-.312,-23.071,74,2018
Kevin Chappell,77,-.344,-21.350,62,2018
Stewart Cink,87,-.345,-23.115,67,2018
Sam Ryder,82,-.349,-24.435,70,2018
Grayson Murray,72,-.350,-20.673,59,2018
Keegan Bradley,98,-.358,-28.639,80,2018
Matt Every,79,-.364,-22.202,61,2018
Corey Conners,97,-.385,-30.425,79,2018
Retief Goosen,60,-.411,-16.459,40,2018
Rod Pampling,62,-.421,-18.964,45,2018
Xinjun Zhang,81,-.437,-24.884,57,2018
