Player Name,Rounds,Average SG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,Year
Dustin Johnson,77,1.987,.919,.829,.238,62,2018
Francesco Molinari,73,1.610,.690,.593,.327,57,2018
Justin Thomas,91,1.563,.408,.844,.311,68,2018
Justin Rose,70,1.527,.551,.526,.450,53,2018
Henrik Stenson,60,1.360,.427,.960,-.027,44,2018
Rory McIlroy,64,1.351,.761,.269,.322,51,2018
Luke List,98,1.337,.795,.194,.349,78,2018
Tiger Woods,68,1.330,.061,.883,.385,59,2018
Tommy Fleetwood,73,1.282,.580,.405,.296,54,2018
Patrick Cantlay,87,1.278,.622,.509,.146,67,2018
Bryson DeChambeau,93,1.212,.586,.556,.070,78,2018
Ryan Moore,78,1.211,.406,.532,.273,66,2018
Tony Finau,105,1.203,.481,.500,.222,81,2018
Keegan Bradley,98,1.151,.237,.888,.026,80,2018
Byeong Hun An,86,1.091,.475,.448,.167,73,2018
Hideki Matsuyama,75,1.064,.194,.727,.143,57,2018
Adam Scott,78,1.064,.300,.639,.125,60,2018
Gary Woodland,96,1.059,.803,.484,-.228,70,2018
Brooks Koepka,64,1.052,.658,.232,.162,54,2018
Jon Rahm,71,1.039,.817,.047,.176,51,2018
Rickie Fowler,74,.980,.244,.494,.242,61,2018
Kevin Streelman,94,.868,.439,.415,.014,82,2018
Jordan Spieth,81,.863,.271,.409,.184,66,2018
Scott Piercy,84,.859,.209,.553,.097,68,2018
Rafa Cabrera Bello,75,.839,.256,.487,.096,48,2018
Paul Casey,74,.833,.138,.586,.109,49,2018
Zach Johnson,94,.829,-.059,.463,.425,72,2018
Stewart Cink,87,.810,.057,.698,.055,67,2018
Patrick Reed,94,.783,.051,.187,.545,63,2018
J.B. Holmes,77,.756,.565,.159,.032,68,2018
Webb Simpson,95,.741,-.116,.486,.370,81,2018
Billy Horschel,86,.720,.538,.352,-.169,77,2018
Joel Dahmen,93,.677,.300,.381,-.004,71,2018
Kevin Chappell,77,.668,.608,.296,-.236,62,2018
Chris Kirk,108,.659,-.048,.518,.190,96,2018
Chesson Hadley,103,.650,.146,.606,-.102,89,2018
Kyle Stanley,93,.649,.378,.298,-.027,67,2018
Ian Poulter,73,.627,.141,.435,.051,50,2018
Brendan Steele,74,.604,.557,.243,-.195,54,2018
Tyrrell Hatton,58,.603,.148,.202,.252,42,2018
Emiliano Grillo,94,.587,.364,.345,-.122,73,2018
Tyler Duncan,97,.583,.273,.476,-.166,81,2018
Charles Howell III,104,.582,.324,.163,.095,78,2018
Corey Conners,97,.579,.501,.275,-.198,79,2018
Bubba Watson,90,.554,.780,.005,-.231,68,2018
Louis Oosthuizen,62,.548,.401,-.261,.408,46,2018
C.T. Pan,104,.544,.215,.267,.063,82,2018
Shane Lowry,64,.524,.331,.245,-.052,51,2018
Jason Kokrak,99,.517,.360,.257,-.101,88,2018
Jason Day,75,.515,.176,-.140,.479,49,2018
Sam Ryder,82,.503,.203,.399,-.099,70,2018
Marc Leishman,93,.498,-.006,.211,.292,73,2018
Daniel Berger,81,.497,.100,.543,-.145,62,2018
Adam Hadwin,92,.490,.057,.166,.267,66,2018
Cameron Percy,56,.490,.241,.039,.210,41,2018
Keith Mitchell,99,.486,.706,-.128,-.092,83,2018
Chez Reavie,93,.483,.183,.437,-.137,60,2018
Russell Knox,94,.471,.059,.263,.149,74,2018
Aaron Wise,90,.464,.410,.012,.042,80,2018
Branden Grace,67,.463,.163,.174,.125,44,2018
Lucas Glover,65,.462,.514,-.043,-.008,46,2018
Xander Schauffele,96,.448,.240,.235,-.027,72,2018
J.J. Spaun,85,.441,.286,.410,-.255,71,2018
James Hahn,85,.431,.323,.081,.028,69,2018
Phil Mickelson,90,.420,-.225,.555,.091,70,2018
Andrew Putnam,97,.420,-.146,.380,.187,77,2018
Charley Hoffman,87,.398,.254,.216,-.071,68,2018
Ryan Armour,109,.395,-.012,.213,.194,96,2018
Jamie Lovemark,92,.378,-.101,-.040,.519,78,2018
Abraham Ancer,98,.376,.325,.074,-.022,83,2018
J.J. Henry,81,.376,.174,.340,-.138,63,2018
Russell Henley,77,.374,.093,.467,-.186,58,2018
Kiradech Aphibarnrat,51,.373,.485,-.247,.135,34,2018
Bronson Burgoon,69,.373,.309,.371,-.307,57,2018
Aaron Baddeley,84,.366,-.345,.117,.595,70,2018
Robert Garrigus,80,.356,.210,.331,-.186,68,2018
Scott Stallings,96,.341,-.008,.373,-.025,80,2018
Alex Cejka,77,.302,-.024,-.169,.495,60,2018
