Player Name,Rounds,Average SG Total,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS,Year
Dustin Johnson,77,2.372,147.040,123.179,23.861,62,2018
Justin Rose,70,1.952,103.435,80.953,22.479,53,2018
Justin Thomas,91,1.835,124.788,106.261,18.528,68,2018
Tommy Fleetwood,73,1.606,86.720,69.210,17.509,54,2018
Tiger Woods,68,1.596,94.154,78.448,15.703,59,2018
Bryson DeChambeau,93,1.558,121.526,94.543,26.982,78,2018
Tony Finau,105,1.435,116.248,97.473,18.774,81,2018
Webb Simpson,95,1.432,116.022,60.005,56.017,81,2018
Rory McIlroy,64,1.412,71.989,68.917,3.073,51,2018
Jason Day,75,1.285,62.966,25.245,37.720,49,2018
Rickie Fowler,74,1.275,77.798,59.767,18.028,61,2018
Brooks Koepka,64,1.220,65.874,56.815,9.057,54,2018
Hideki Matsuyama,75,1.196,68.157,60.649,7.507,57,2018
Henrik Stenson,60,1.153,50.738,59.828,-9.091,44,2018
Emiliano Grillo,94,1.133,82.692,42.850,39.840,73,2018
Francesco Molinari,73,1.123,64.014,91.756,-27.740,57,2018
Rafa Cabrera Bello,75,1.112,53.370,40.270,13.101,48,2018
Billy Horschel,86,1.112,85.643,55.474,30.164,77,2018
Patrick Cantlay,87,1.096,73.418,85.596,-12.177,67,2018
Gary Woodland,96,1.066,74.632,74.147,.482,70,2018
Alex Noren,67,1.044,51.168,14.013,37.154,49,2018
Zach Johnson,94,1.035,74.544,59.710,14.835,72,2018
Paul Casey,74,.966,47.336,40.801,6.537,49,2018
Patrick Reed,94,.947,59.645,49.325,10.316,63,2018
Ryan Moore,78,.941,62.090,79.953,-17.863,66,2018
Tyrrell Hatton,58,.938,39.390,25.315,14.077,42,2018
Phil Mickelson,90,.931,65.141,29.429,35.710,70,2018
Jon Rahm,71,.889,45.323,53.008,-7.685,51,2018
Luke List,98,.870,67.879,104.322,-36.445,78,2018
Chesson Hadley,103,.859,76.441,57.882,18.554,89,2018
Ian Poulter,73,.850,42.507,31.362,11.143,50,2018
Jordan Spieth,81,.830,54.751,56.977,-2.224,66,2018
Daniel Berger,81,.816,50.605,30.826,19.780,62,2018
Branden Grace,67,.812,35.747,20.359,15.389,44,2018
Byeong Hun An,86,.805,58.790,79.607,-20.820,73,2018
Charles Howell III,104,.801,62.475,45.384,17.091,78,2018
Kevin Na,91,.801,56.037,18.733,37.303,70,2018
Keegan Bradley,98,.793,63.411,92.047,-28.639,80,2018
Adam Scott,78,.779,46.738,63.829,-17.091,60,2018
Chris Kirk,108,.732,70.287,63.288,6.996,96,2018
Johnson Wagner,75,.715,39.339,5.049,34.291,55,2018
Aaron Wise,90,.703,56.223,37.152,19.071,80,2018
Graeme McDowell,67,.697,32.061,10.093,21.967,46,2018
Kyle Stanley,93,.686,45.987,43.483,2.504,67,2018
Chez Reavie,93,.674,40.453,28.956,11.495,60,2018
Xander Schauffele,96,.644,46.352,32.276,14.078,72,2018
Brandt Snedeker,84,.625,46.285,10.905,35.378,74,2018
Marc Leishman,93,.624,45.569,36.334,9.234,73,2018
Kevin Streelman,94,.619,50.729,71.201,-20.472,82,2018
Adam Hadwin,92,.596,39.353,32.337,7.013,66,2018
Beau Hossler,104,.584,52.529,-9.092,61.617,90,2018
Matt Kuchar,88,.576,37.442,14.848,22.592,65,2018
Austin Cook,107,.569,52.338,23.377,28.962,92,2018
Brian Gay,103,.565,52.021,11.355,40.668,92,2018
Bubba Watson,90,.555,37.729,37.666,.062,68,2018
J.B. Holmes,77,.549,37.302,51.408,-14.109,68,2018
Russell Henley,77,.541,31.381,21.679,9.703,58,2018
Jason Kokrak,99,.539,47.388,45.455,1.930,88,2018
Louis Oosthuizen,62,.521,23.973,25.186,-1.213,46,2018
Kiradech Aphibarnrat,51,.511,17.365,12.665,4.699,34,2018
Bronson Burgoon,69,.481,27.400,21.278,6.123,57,2018
C.T. Pan,104,.478,39.162,44.628,-5.470,82,2018
Andrew Putnam,97,.472,36.369,32.359,4.008,77,2018
Martin Laird,73,.470,28.680,11.499,17.178,61,2018
Stewart Cink,87,.465,31.177,54.292,-23.115,67,2018
Bud Cauley,55,.461,18.901,3.845,15.055,41,2018
Charley Hoffman,87,.425,28.870,27.080,1.788,68,2018
Jim Furyk,50,.412,18.946,1.042,17.903,46,2018
Joel Dahmen,93,.400,28.422,48.093,-19.670,71,2018
Jamie Lovemark,92,.388,30.261,29.446,.810,78,2018
Russell Knox,94,.383,28.318,34.857,-6.538,74,2018
Rory Sabbatini,91,.358,26.877,22.425,4.449,75,2018
Jimmy Walker,81,.357,23.548,2.175,21.369,66,2018
Nick Watney,94,.343,27.477,11.474,15.999,80,2018
Ryan Armour,109,.337,32.370,37.915,-5.545,96,2018
Kevin Tway,110,.329,29.634,24.908,4.721,90,2018
Zac Blair,64,.323,14.862,5.517,9.346,46,2018
Kevin Chappell,77,.323,20.042,41.395,-21.350,62,2018
Abraham Ancer,98,.320,26.573,31.219,-4.648,83,2018
Alex Cejka,77,.312,18.703,18.143,.556,60,2018
Nate Lashley,51,.310,10.836,7.982,2.853,35,2018
Aaron Baddeley,84,.309,21.661,25.633,-3.973,70,2018
J.J. Spaun,85,.292,20.762,31.344,-10.580,71,2018
Brian Harman,94,.290,20.894,1.214,19.683,72,2018
Scott Piercy,84,.290,19.719,58.406,-38.686,68,2018
Cameron Percy,56,.285,11.703,20.092,-8.386,41,2018
James Hahn,85,.279,19.221,29.737,-10.517,69,2018
Lucas Glover,65,.276,12.697,21.266,-8.573,46,2018
Brandon Harkins,101,.275,23.400,4.254,19.146,85,2018
Scott Stallings,96,.270,21.629,27.246,-5.617,80,2018
Peter Uihlein,83,.268,17.434,16.080,1.352,65,2018
Ollie Schniederjans,91,.254,19.567,-5.478,25.042,77,2018
John Huh,94,.251,20.556,6.825,13.730,82,2018
Peter Malnati,87,.244,18.337,-28.073,46.409,75,2018
Shane Lowry,64,.238,12.126,26.705,-14.581,51,2018
Patrick Rodgers,97,.232,16.969,-23.964,40.931,73,2018
Sam Saunders,80,.226,15.123,8.820,6.304,67,2018
Cameron Smith,85,.219,13.353,6.363,6.990,61,2018
Vaughn Taylor,83,.219,15.344,20.928,-5.579,70,2018
Hunter Mahan,67,.209,10.648,-6.992,17.640,51,2018
Troy Merritt,89,.209,15.233,9.638,5.594,73,2018
Corey Conners,97,.193,15.285,45.712,-30.425,79,2018
William McGirt,84,.178,13.365,-1.606,14.969,75,2018
Seamus Power,86,.178,11.778,-21.073,32.851,66,2018
Ben Crane,65,.176,8.088,-7.199,15.285,46,2018
Sam Ryder,82,.154,10.793,35.231,-24.435,70,2018
J.T. Poston,73,.138,7.888,.176,7.711,57,2018
Harold Varner III,91,.125,9.273,11.039,-1.769,74,2018
Shawn Stefani,76,.107,6.420,8.464,-2.045,60,2018
Matt Jones,70,.104,4.910,6.527,-1.615,47,2018
Anirban Lahiri,82,.104,6.977,-6.347,13.321,67,2018
Denny McCarthy,71,.094,4.625,-17.392,22.017,49,2018
Bill Haas,76,.079,5.225,9.145,-3.922,66,2018
Tom Hoge,101,.074,6.112,19.540,-13.429,83,2018
Brian Stuard,103,.062,5.481,-8.920,14.398,88,2018
Danny Lee,88,.058,4.032,-6.898,10.927,70,2018
Michael Thompson,62,.052,2.913,-24.976,27.889,56,2018
Brett Stegmaier,67,.048,2.254,-16.580,18.835,47,2018
Kevin Kisner,89,.037,2.409,-30.953,33.364,65,2018
Jhonattan Vegas,92,.030,1.945,5.723,-3.778,64,2018
Brendan Steele,74,.029,1.541,32.638,-31.096,54,2018
Tyler Duncan,97,.017,1.339,47.204,-45.865,81,2018
Jason Dufner,71,.011,.551,3.554,-3.002,52,2018
Ben Martin,64,-.001,-.064,-6.786,6.721,57,2018
David Lingmerth,82,-.007,-.453,-16.227,15.774,69,2018
Mackenzie Hughes,80,-.014,-.959,11.052,-12.010,68,2018
Keith Mitchell,99,-.018,-1.471,40.372,-41.840,83,2018
David Hearn,66,-.031,-1.565,4.765,-6.328,50,2018
Ryan Blaum,81,-.033,-2.362,-4.152,1.790,72,2018
Patton Kizzire,92,-.033,-2.605,-4.925,2.321,78,2018
Andrew Landry,82,-.039,-2.853,-2.102,-.751,73,2018
Blayne Barber,69,-.041,-2.456,-1.129,-1.323,60,2018
Pat Perez,82,-.048,-2.456,-8.327,5.873,51,2018
Dominic Bozzelli,65,-.055,-3.330,-22.129,18.799,61,2018
Trey Mullinax,75,-.072,-4.231,-8.472,4.242,59,2018
Stephan Jaeger,81,-.090,-5.689,3.401,-9.089,63,2018
Si Woo Kim,108,-.092,-7.170,5.967,-13.138,78,2018
"Ted Potter, Jr.",87,-.094,-7.272,-13.009,5.735,77,2018
Fabián Gómez,88,-.106,-7.516,-7.578,.061,71,2018
Richy Werenski,98,-.124,-9.145,-1.058,-8.086,74,2018
Adam Schenk,86,-.150,-9.916,-18.481,8.564,66,2018
Talor Gooch,78,-.163,-10.131,-12.033,1.902,62,2018
Harris English,84,-.184,-12.521,-27.587,15.063,68,2018
Tom Lovelady,87,-.190,-13.077,-9.667,-3.410,69,2018
J.J. Henry,81,-.193,-12.144,23.717,-35.859,63,2018
Charl Schwartzel,65,-.195,-8.208,-11.587,3.381,42,2018
Ben Silverman,90,-.206,-15.636,-33.723,18.084,76,2018
Robert Garrigus,80,-.213,-14.489,24.181,-38.672,68,2018
Ryan Palmer,69,-.231,-13.834,17.828,-31.665,60,2018
Sean O'Hair,67,-.233,-13.300,-1.499,-11.801,57,2018
Nick Taylor,94,-.235,-17.377,5.693,-23.071,74,2018
Jonathan Byrd,70,-.266,-12.774,-7.686,-5.087,48,2018
Lanto Griffin,80,-.268,-16.088,-10.354,-5.733,60,2018
Brice Garnett,99,-.310,-25.098,-18.930,-6.169,81,2018
Conrad Shindler,60,-.313,-13.775,-6.448,-7.324,44,2018
Kelly Kraft,94,-.320,-23.703,-29.239,5.534,74,2018
Nicholas Lindheim,77,-.323,-19.055,-39.984,20.929,59,2018
Tyrone Van Aswegen,101,-.323,-26.813,-25.992,-.821,83,2018
Grayson Murray,72,-.336,-19.836,.834,-20.673,59,2018
Chris Stroud,81,-.338,-19.608,-22.706,3.098,58,2018
Steve Wheatcroft,60,-.339,-15.603,-9.713,-5.886,46,2018
Ricky Barnes,65,-.365,-16.438,-31.639,15.200,45,2018
Whee Kim,93,-.437,-31.865,-63.050,31.181,73,2018
Wesley Bryan,69,-.454,-23.160,-41.512,18.354,51,2018
Chad Campbell,87,-.484,-32.399,-1.959,-30.441,67,2018
Hudson Swafford,73,-.492,-25.596,-12.060,-13.534,52,2018
Retief Goosen,60,-.497,-19.867,-3.409,-16.459,40,2018
Rob Oppenheim,74,-.542,-29.255,-31.667,2.413,54,2018
Jonas Blixt,67,-.547,-26.236,-37.960,11.722,48,2018
Martin Flores,92,-.567,-40.854,-20.035,-20.821,72,2018
Robert Streb,78,-.581,-34.850,-30.021,-4.830,60,2018
Scott Brown,102,-.661,-53.530,-57.498,3.967,81,2018
Billy Hurley III,70,-.702,-40.024,-41.442,1.419,57,2018
Xinjun Zhang,81,-.734,-41.811,-16.926,-24.884,57,2018
Derek Fathauer,84,-.807,-54.869,-79.540,24.669,68,2018
Ethan Tracy,72,-.813,-43.876,-42.473,-1.402,54,2018
Cody Gribble,71,-.819,-44.251,-55.090,10.838,54,2018
Roberto Díaz,72,-.833,-46.666,-56.076,9.410,56,2018
Jonathan Randolph,71,-.877,-52.610,-59.521,6.912,60,2018
Michael Kim,74,-1.003,-54.166,-68.173,14.004,54,2018
Cameron Tringale,67,-1.019,-51.965,-46.678,-5.286,51,2018
Sung Kang,89,-1.041,-69.757,-54.034,-15.725,67,2018
Rod Pampling,62,-1.094,-49.235,-30.273,-18.964,45,2018
Martin Piller,79,-1.127,-75.535,-83.478,7.942,67,2018
Matt Atkins,56,-1.129,-45.173,-37.264,-7.906,40,2018
Matt Every,79,-1.139,-69.470,-47.268,-22.202,61,2018
Zecheng Dou,53,-1.198,-43.122,-19.112,-24.010,36,2018
Kyle Thompson,50,-1.262,-45.441,-18.421,-27.017,36,2018
Greg Chalmers,56,-1.266,-51.892,-84.279,32.387,41,2018
D.A. Points,63,-1.449,-69.535,-74.810,5.274,48,2018
Satoshi Kodaira,51,-1.832,-73.271,-47.474,-25.794,40,2018
Andrew Yun,51,-1.936,-65.811,-45.425,-20.385,34,2018
Daniel Summerhays,51,-2.105,-79.974,-107.938,27.965,38,2018
Jordan Spieth,85,1.988,127.259,105.532,21.727,64,2017
Dustin Johnson,77,1.972,112.398,106.705,5.690,57,2017
Rickie Fowler,78,1.875,110.611,62.675,47.934,59,2017
Jon Rahm,90,1.871,119.728,101.619,18.110,64,2017
Justin Thomas,86,1.724,105.194,86.434,18.759,61,2017
Paul Casey,94,1.537,102.973,93.723,9.248,67,2017
Marc Leishman,94,1.424,98.265,73.920,24.345,69,2017
Francesco Molinari,75,1.418,80.848,81.842,-.993,57,2017
Patrick Cantlay,52,1.269,58.394,51.092,7.300,46,2017
Justin Rose,66,1.268,64.687,67.873,-3.185,51,2017
