Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Henrik Stenson,60.0,75.19,2018,291.5,73.51,29.93,60.67,69.617,868,,5.0,-0.207,1.153,0.42700000000000005,0.96,-0.027000000000000003,"$2,680,487"
Ryan Armour,109.0,73.58,2018,283.5,68.22,29.31,60.13,70.758,"1,006",1.0,3.0,-0.057999999999999996,0.337,-0.012,0.213,0.19399999999999998,"$2,485,203"
Chez Reavie,93.0,72.24,2018,286.5,68.67,29.12,62.27,70.432,"1,020",,3.0,0.192,0.674,0.183,0.43700000000000006,-0.13699999999999998,"$2,700,018"
Ryan Moore,78.0,71.94,2018,289.2,68.8,29.17,64.16,70.015,795,,5.0,-0.271,0.941,0.406,0.532,0.273,"$1,986,608"
Brian Stuard,103.0,71.44,2018,278.9,67.12,29.11,59.23,71.038,421,,3.0,0.16399999999999998,0.062,-0.22699999999999998,0.099,0.026000000000000002,"$1,089,763"
Brian Gay,103.0,71.37,2018,282.9,64.52,28.25,63.26,70.28,880,,6.0,0.442,0.565,-0.166,0.036000000000000004,0.253,"$2,152,501"
Kyle Stanley,93.0,71.29,2018,295.7,71.09,29.89,54.8,70.404,"1,198",,5.0,0.037000000000000005,0.6859999999999999,0.37799999999999995,0.298,-0.027000000000000003,"$3,916,001"
Emiliano Grillo,94.0,70.16,2018,295.2,68.84,29.04,61.05,70.152,901,,5.0,0.546,1.133,0.364,0.345,-0.122,"$2,493,163"
Russell Henley,77.0,70.03,2018,293.0,68.77,29.8,54.33,70.48899999999999,569,,3.0,0.16699999999999998,0.541,0.09300000000000001,0.467,-0.18600000000000003,"$1,516,438"
Jim Furyk,50.0,69.91,2018,280.5,63.19,28.73,62.58,70.342,291,,2.0,0.389,0.41200000000000003,-0.392,0.179,0.235,"$660,010"
Steve Wheatcroft,60.0,69.79,2018,288.9,66.57,29.29,61.03,71.631,138,,1.0,-0.128,-0.33899999999999997,0.11199999999999999,-0.065,-0.258,"$309,656"
Kevin Streelman,94.0,69.11,2018,295.1,71.56,29.67,60.93,70.436,673,,5.0,-0.25,0.619,0.439,0.415,0.013999999999999999,"$1,523,642"
C.T. Pan,104.0,68.98,2018,292.7,71.2,29.66,56.89,70.457,693,,1.0,-0.067,0.478,0.215,0.267,0.063,"$1,881,787"
David Lingmerth,82.0,68.93,2018,285.4,63.03,28.5,58.57,71.043,274,,,0.22899999999999998,-0.006999999999999999,0.006,-0.16,-0.081,"$616,758"
Keegan Bradley,98.0,67.9,2018,299.6,69.18,29.68,56.78,70.303,872,,4.0,-0.358,0.7929999999999999,0.237,0.888,0.026000000000000002,"$4,069,464"
Rafa Cabrera Bello,75.0,67.85,2018,295.1,70.16,29.47,57.98,69.887,784,,4.0,0.273,1.112,0.256,0.48700000000000004,0.096,"$2,449,869"
Billy Horschel,86.0,67.8,2018,295.4,71.75,29.46,58.03,70.154,960,1.0,3.0,0.392,1.112,0.5379999999999999,0.35200000000000004,-0.16899999999999998,"$4,315,200"
Russell Knox,94.0,67.7,2018,291.7,69.57,29.7,59.43,70.568,585,,3.0,-0.08800000000000001,0.38299999999999995,0.059000000000000004,0.263,0.149,"$1,424,030"
Ben Crane,65.0,67.52,2018,281.1,64.88,28.69,63.0,71.097,267,,1.0,0.332,0.17600000000000002,-0.302,-0.038,0.184,"$620,646"
Vaughn Taylor,83.0,67.51,2018,286.1,67.02,29.15,59.91,70.692,445,,3.0,-0.08,0.21899999999999997,-0.005,0.305,-0.002,"$965,691"
Brian Harman,94.0,67.14,2018,291.9,67.59,29.29,56.95,70.536,"1,056",,8.0,0.273,0.29,0.13699999999999998,-0.024,-0.096,"$2,733,463"
Sam Ryder,82.0,66.91,2018,297.3,72.08,29.88,56.47,70.914,442,,3.0,-0.349,0.154,0.203,0.39899999999999997,-0.099,"$1,046,166"
